,Word1,Word2,Similarity Score,Ground Truth,Label
0,मोहब्बत,सेक्स,0.38940102,6.8,0
1,बाघ,बिल्ली,0.77959585,7.0,0
2,किताब,कागज़,0.67935437,7.6,0
3,कंप्यूटर,कीबोर्ड,0.8658585,7.6,1
4,कंप्यूटर,इंटरनेट,0.8168776,8.0,1
5,विमान,कार,0.6974292,6.0,0
6,रेलगाड़ी,कार,0.7063135,6.2,0
7,टेलीफोन,संचार,0.63406855,7.6,0
8,टेलीविजन,रेडियो,0.79841685,6.4,0
9,मीडिया,रेडियो,0.722306,5.8,0
10,ब्रेड,मक्खन,0.67412317,6.6,0
11,खीरा,आलू,0.74303395,5.8,0
12,चिकित्सक,नर्स,0.7238921,7.6,0
13,प्रोफ़ेसर,चिकित्सक,0.5950287,4.6,0
14,छात्र,प्रोफ़ेसर,0.612803,7.0,0
15,होशियार,छात्र,0.52155036,5.2,0
16,होशियार,बेवकूफ,0.64263976,6.2,0
17,किताब,पुस्तकालय,0.6046756,7.6,0
18,बैंक,पैसे,0.48038304,8.0,0
19,लकड़ी,जंगल,0.55974877,7.0,0
20,प्रोफ़ेसर,खीरा,0.16899802,0.0,0
21,राजा,रानी,0.76430607,8.2,0
22,बिशप,रबी,0.14419359,7.0,0
23,यरूशलेम,इजराइल,0.46337837,7.8,0
24,पवित्र,सेक्स,0.28247237,1.0,0
25,माराडोना,फ़ुटबॉल,0.79607916,7.8,0
26,फ़ुटबॉल,सॉकर,0.9360522,9.0,1
27,फ़ुटबॉल,बास्केटबाल,0.8231311,6.4,1
28,फ़ुटबॉल,टेनिस,0.91684645,5.8,1
29,टेनिस,रैकेट,0.52930945,7.4,0
30,कानून,वकील,0.5442407,7.8,0
31,चलचित्र,पॉपकॉर्न,0.44029763,6.6,0
32,चलचित्र,आलोचक,0.40529427,6.6,0
33,चलचित्र,थिएटर,0.6471255,8.4,0
34,पीना,कार,0.40946844,1.4,0
35,पीना,कान,0.38871065,0.4,0
36,पीना,मुंह,0.38339078,7.0,0
37,बच्चा,मां,0.58986723,7.2,0
38,पीना,मां,0.32843482,1.8,0
39,मणि,गहना,0.5016893,6.8,0
40,भट्ठी,स्टोव,0.8704041,8.4,1
41,भोजन,फल,0.5824942,6.6,0
42,पक्षी,सारस,0.8501102,7.4,1
43,भाई,साधु,0.45542735,1.4,0
44,यात्रा,कार,0.5477595,6.2,0
45,साधु,गुलाम,0.29394293,0.2,0
46,कांच,जादूगर,0.3838981,2.0,0
47,पैसे,मुद्रा,0.6627084,8.6,0
48,पैसे,धन,0.6028367,9.2,0
49,पैसे,संपत्ति,0.8035245,8.4,1
50,पैसे,बैंक,0.7230221,8.2,0
51,पैसे,जमा,0.6995143,6.6,0
52,पैसे,ऑपरेशन,0.5096475,2.6,0
53,बाघ,जैगुआर,0.6825298,8.0,0
54,बाघ,जानवर,0.81025946,7.6,1
55,बाघ,चिड़ियाघर,0.83036256,6.8,1
56,मनोविज्ञान,चिंता,0.30639657,6.2,0
57,मनोविज्ञान,डर,0.14968461,5.2,0
58,मनोविज्ञान,डिप्रेशन,0.5599172,7.0,0
59,मनोविज्ञान,क्लिनिक,0.48335385,6.4,0
60,मनोविज्ञान,चिकित्सक,0.5580495,7.0,0
61,मनोविज्ञान,मन,0.24834299,7.4,0
62,मनोविज्ञान,स्वास्थ्य,0.5342231,6.2,0
63,मनोविज्ञान,विज्ञान,0.79874766,7.0,0
64,मनोविज्ञान,अनुशासन,0.51414293,4.2,0
