,Word1,Word2,Similarity Score,Ground Truth,Label
0,मोहब्बत,सेक्स,0.4175629223993063,6.8,1
1,बाघ,बिल्ली,0.563533491449745,7.0,1
2,किताब,कागज़,0.4962405073528744,7.6,1
3,कंप्यूटर,कीबोर्ड,0.4970660787165683,7.6,1
4,कंप्यूटर,इंटरनेट,0.7195156928087785,8.0,1
5,विमान,कार,0.6250393602424117,6.0,1
6,रेलगाड़ी,कार,0.8031670373053251,6.2,1
7,टेलीफोन,संचार,0.6147457384659409,7.6,1
8,टेलीविजन,रेडियो,0.7075573407258859,6.4,1
9,मीडिया,रेडियो,0.5170944991422112,5.8,1
10,ब्रेड,मक्खन,0.6090071077265161,6.6,1
11,खीरा,आलू,0.6691350556470496,5.8,1
12,चिकित्सक,नर्स,0.6309649798321496,7.6,1
13,प्रोफ़ेसर,चिकित्सक,0.4872707942448518,4.6,1
14,छात्र,प्रोफ़ेसर,0.388719090411059,7.0,0
15,होशियार,छात्र,0.48997086223900854,5.2,1
16,होशियार,बेवकूफ,0.574323719978178,6.2,1
17,किताब,पुस्तकालय,0.3934637382968008,7.6,0
18,बैंक,पैसे,0.5031160863079649,8.0,1
19,लकड़ी,जंगल,0.5693885013760369,7.0,1
20,प्रोफ़ेसर,खीरा,-0.09685783015751002,0.0,0
21,राजा,रानी,0.5686778467583918,8.2,1
22,बिशप,रबी,0.1080464648314799,7.0,0
23,यरूशलेम,इजराइल,0.43155907583127234,7.8,1
24,पवित्र,सेक्स,0.3280968446458941,1.0,0
25,माराडोना,फ़ुटबॉल,0.4610963233253434,7.8,1
26,फ़ुटबॉल,सॉकर,0.7018412121613008,9.0,1
27,फ़ुटबॉल,बास्केटबाल,0.4215738809077322,6.4,1
28,फ़ुटबॉल,टेनिस,0.7897736173662959,5.8,1
29,टेनिस,रैकेट,0.36399887403795583,7.4,0
30,कानून,वकील,0.5074792288742898,7.8,1
31,चलचित्र,पॉपकॉर्न,0.2185587578400326,6.6,0
32,चलचित्र,आलोचक,0.256482880420187,6.6,0
33,चलचित्र,थिएटर,0.3208575929885073,8.4,0
34,पीना,कार,0.2689083331776518,1.4,0
35,पीना,कान,0.29358228989511137,0.4,0
36,पीना,मुंह,0.5017006874536745,7.0,1
37,बच्चा,मां,0.700574227109335,7.2,1
38,पीना,मां,0.3226198445874132,1.8,0
39,मणि,गहना,0.24004476340382042,6.8,0
40,भट्ठी,स्टोव,0.5580445488046795,8.4,1
41,भोजन,फल,0.6409867242769545,6.6,1
42,पक्षी,सारस,0.4971161847090789,7.4,1
43,भाई,साधु,0.3361277814647056,1.4,0
44,यात्रा,कार,0.5025088887445704,6.2,1
45,साधु,गुलाम,0.22207864671783806,0.2,0
46,कांच,जादूगर,0.2009402070645146,2.0,0
47,पैसे,मुद्रा,0.5141177273397203,8.6,1
48,पैसे,धन,0.7535253288932858,9.2,1
49,पैसे,संपत्ति,0.6268453982354344,8.4,1
50,पैसे,बैंक,0.6519570877691475,8.2,1
51,पैसे,जमा,0.6763070363305872,6.6,1
52,पैसे,ऑपरेशन,0.32088299283806404,2.6,0
53,बाघ,जैगुआर,0.20309760214004227,8.0,0
54,बाघ,जानवर,0.7108510175532013,7.6,1
55,बाघ,चिड़ियाघर,0.4622242567485671,6.8,1
56,मनोविज्ञान,चिंता,0.33194794712148173,6.2,0
57,मनोविज्ञान,डर,0.25094958493952413,5.2,0
58,मनोविज्ञान,डिप्रेशन,0.3228517162767056,7.0,0
59,मनोविज्ञान,क्लिनिक,0.2692677759697042,6.4,0
60,मनोविज्ञान,चिकित्सक,0.49220108689473496,7.0,1
61,मनोविज्ञान,मन,0.4413908707443321,7.4,1
62,मनोविज्ञान,स्वास्थ्य,0.6152618640569029,6.2,1
63,मनोविज्ञान,विज्ञान,0.8868386362170093,7.0,1
64,मनोविज्ञान,अनुशासन,0.4807279661676802,4.2,1
