,Word1,Word2,Similarity Score,Ground Truth,Label
0,मोहब्बत,सेक्स,0.33071396,6.8,0
1,बाघ,बिल्ली,0.5604633,7.0,0
2,किताब,कागज़,0.474069,7.6,0
3,कंप्यूटर,कीबोर्ड,0.70126134,7.6,1
4,कंप्यूटर,इंटरनेट,0.8381838,8.0,1
5,विमान,कार,0.63447636,6.0,1
6,रेलगाड़ी,कार,1.0181922,6.2,1
7,टेलीफोन,संचार,0.4756903,7.6,0
8,टेलीविजन,रेडियो,0.8859863,6.4,1
9,मीडिया,रेडियो,0.46183583,5.8,0
10,ब्रेड,मक्खन,0.7103304,6.6,1
11,खीरा,आलू,1.2292725,5.8,1
12,चिकित्सक,नर्स,0.5940791,7.6,0
13,प्रोफ़ेसर,चिकित्सक,0.5476538,4.6,0
14,छात्र,प्रोफ़ेसर,0.38651267,7.0,0
15,होशियार,छात्र,0.32760108,5.2,0
16,होशियार,बेवकूफ,0.7073961,6.2,1
17,किताब,पुस्तकालय,0.2297815,7.6,0
18,बैंक,पैसे,0.42689067,8.0,0
19,लकड़ी,जंगल,0.5058073,7.0,0
20,प्रोफ़ेसर,खीरा,-0.0038248808,0.0,0
21,राजा,रानी,0.59521127,8.2,0
22,बिशप,रबी,-0.1672651,7.0,0
23,यरूशलेम,इजराइल,0.48931578,7.8,0
24,पवित्र,सेक्स,0.10943137,1.0,0
25,माराडोना,फ़ुटबॉल,0.8565903,7.8,1
26,फ़ुटबॉल,सॉकर,0.7686855,9.0,1
27,फ़ुटबॉल,बास्केटबाल,0.7409923,6.4,1
28,फ़ुटबॉल,टेनिस,1.3829225,5.8,1
29,टेनिस,रैकेट,0.21587288,7.4,0
30,कानून,वकील,0.30912393,7.8,0
31,चलचित्र,पॉपकॉर्न,0.16190736,6.6,0
32,चलचित्र,आलोचक,0.47914678,6.6,0
33,चलचित्र,थिएटर,0.64812964,8.4,1
34,पीना,कार,0.013545627,1.4,0
35,पीना,कान,0.113076895,0.4,0
36,पीना,मुंह,0.2323099,7.0,0
37,बच्चा,मां,0.5633835,7.2,0
38,पीना,मां,0.1675201,1.8,0
39,मणि,गहना,0.299335,6.8,0
40,भट्ठी,स्टोव,0.86012346,8.4,1
41,भोजन,फल,0.59562945,6.6,0
42,पक्षी,सारस,0.5374691,7.4,0
43,भाई,साधु,0.2664305,1.4,0
44,यात्रा,कार,0.3358076,6.2,0
45,साधु,गुलाम,0.20985131,0.2,0
46,कांच,जादूगर,0.15924829,2.0,0
47,पैसे,मुद्रा,0.22369944,8.6,0
48,पैसे,धन,0.7025054,9.2,1
49,पैसे,संपत्ति,0.47796297,8.4,0
50,पैसे,बैंक,0.4444483,8.2,0
51,पैसे,जमा,0.44773114,6.6,0
52,पैसे,ऑपरेशन,0.13062611,2.6,0
53,बाघ,जैगुआर,0.1047387,8.0,0
54,बाघ,जानवर,0.89296275,7.6,1
55,बाघ,चिड़ियाघर,0.52905095,6.8,0
56,मनोविज्ञान,चिंता,0.21146508,6.2,0
57,मनोविज्ञान,डर,-0.047726795,5.2,0
58,मनोविज्ञान,डिप्रेशन,0.3500385,7.0,0
59,मनोविज्ञान,क्लिनिक,0.26454154,6.4,0
60,मनोविज्ञान,चिकित्सक,0.5210961,7.0,0
61,मनोविज्ञान,मन,0.3595362,7.4,0
62,मनोविज्ञान,स्वास्थ्य,0.5843652,6.2,0
63,मनोविज्ञान,विज्ञान,0.99228567,7.0,1
64,मनोविज्ञान,अनुशासन,0.5222504,4.2,0
